,Country_Name,Life_Expectancy,year,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,pf_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,ef_score,hf_score,region,happiness_rank,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual
157,Greece,81.38780488,2016,5.789790663,8.872414211,10.000000000,7.324074074,10.000000000,8.738095238,6.750000000,7.946768150,4.379450297,5.778509815,8.037389926,7.678958625,6.434657332,6.46,7.203384075,Western Europe,99,5.033,1.24886,0.75473,0.80029,0.05822,0.04127,0.00000,2.12944
158,Guatemala,73.54100000,2016,3.987677170,6.333333333,10.000000000,8.470000000,7.500000000,7.459933562,6.250000000,6.548245982,9.528485010,4.382490053,9.557483712,8.193937920,6.550075910,7.64,7.094122991,Latin America and Caribbean,39,6.324,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863
159,Honduras,74.70100000,2016,3.194722841,5.939567336,8.333333333,8.731481481,8.500000000,7.964285714,7.500000000,6.386482597,8.532352941,3.435269824,9.293651700,7.217558726,6.824516794,7.06,6.723241298,Latin America and Caribbean,104,4.871,0.69429,0.75596,0.58383,0.26755,0.06906,0.20440,2.29551
160,Croatia,78.02195122,2016,5.700537868,9.860715403,10.000000000,8.051481481,9.000000000,8.607142857,10.000000000,8.456175752,4.683887540,5.479351478,9.136323654,8.188139185,7.287616394,6.96,7.708087876,Central and Eastern Europe,74,5.488,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462
161,Haiti,62.89600000,2016,3.582253733,7.758151540,10.000000000,8.392222222,10.000000000,8.226190476,6.875000000,7.184442588,8.430694021,2.500470609,7.216129446,7.504084903,6.886282485,6.51,6.847221294,Latin America and Caribbean,136,4.028,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116
162,Hungary,76.06341463,2016,5.439017665,9.554416221,10.000000000,7.284444444,9.000000000,8.821428571,10.000000000,8.258945773,4.890497079,5.919262708,9.710533115,7.953706122,7.632667959,7.22,7.739472887,Central and Eastern Europe,91,5.145,1.24142,0.93164,0.67608,0.19770,0.04472,0.09900,1.95473
163,Indonesia,71.03500000,2016,4.077098305,8.930331429,6.666666667,3.854074074,7.000000000,7.523809524,6.250000000,6.381312460,7.810939930,4.883138286,9.683353617,6.997110677,6.429415347,7.16,6.770656230,Southeastern Asia,79,5.314,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171
164,India,68.89700000,2016,4.320439849,7.432355452,6.666666667,5.488888889,7.000000000,7.921169544,5.500000000,6.195871335,7.719442848,5.156629041,8.199784181,5.572692843,6.497381642,6.63,6.412935668,Southern Asia,118,4.404,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032
165,Ireland,81.65365854,2016,7.614721658,9.708610774,10.000000000,9.082962963,7.500000000,9.500000000,10.000000000,8.939129404,6.312110986,7.720957247,9.255335231,8.599206441,8.465913510,8.07,8.504564702,Western Europe,19,6.907,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988
166,Iraq,70.12200000,2016,2.464387305,3.963850160,0E-9,5.327777778,4.500000000,5.261904762,0E-9,3.116027620,5.248190078,2.774515098,7.258295299,5.239557906,6.475279949,5.40,4.258013810,Middle East and Northern Africa,112,4.575,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1.81657
167,Iceland,82.20487805,2016,7.572814721,9.959940303,10.000000000,8.122222222,10.000000000,9.630952381,9.250000000,9.083506216,5.451234737,8.399348500,7.055296849,7.161710811,8.009519936,7.22,8.151753108,Western Europe,3,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137
168,Israel,82.40731707,2016,6.790677923,9.170163569,1.666666667,5.931481481,10.000000000,7.948909543,10.000000000,7.544916142,6.252382111,6.158069038,9.399942105,8.211971513,7.411094704,7.49,7.517458071,Middle East and Northern Africa,11,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029
169,Italy,83.24390244,2016,6.503838352,9.909671786,10.000000000,8.049259259,9.500000000,9.071428571,9.250000000,8.690446317,5.447874040,5.709202635,9.438703624,8.250625682,7.485950008,7.27,7.980223159,Western Europe,50,5.977,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918
